year,sector,food_type,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_inedible_parts,tons_not_fit_for_human_consumption,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,surplus_upstream_100_year_mtco2e_footprint,surplus_downstream_100_year_mtco2e_footprint,surplus_total_100_year_mtco2e_footprint,surplus_upstream_100_year_mtch4_footprint,surplus_downstream_100_year_mtch4_footprint,surplus_total_100_year_mtch4_footprint,gallons_water_footprint,meals_wasted
2014,Retail,Prepared Foods,337039.6302069897,4374865.39728699,3816779424.5522413,194645.46194549988,272640.0920093387,13110.565624478999,40957.05586275339,64399.53819765096,15572.559773996954,62422.07028984182,16215.236844034927,60461.08128126442,0.0,15665.494167156283,3938.4569163865267,98365.19273665771,0.0,0.0,1325627.5394103052,50378.010499474316,1376005.5499097796,10487.114714087873,3494.562391433763,13981.677105521636,129233177095.88608,454400153.3488979
2014,Retail,Produce,1452270.2138299409,24100069.92747994,4331358531.491254,838707.9183151692,1174779.0147937497,331097.3612091839,494105.8948513607,277491.19903619104,67100.60979764593,268970.4866809344,69869.84131310435,260520.7802619716,0.0,62718.351257081486,16970.418774219426,428628.5267087923,0.0,0.0,2165515.8722004564,121774.91571289077,2287290.787913347,5348.58987437814,6064.93178743802,11413.521661816161,52937034544.302284,1957965024.6562498
2014,Retail,Ready-To-Drink Beverages,352815.3460403069,15835518.224430308,488069076.4758513,265104.1555464381,265104.1555464381,0.0,201122.38801027698,87711.19049386882,0.0,0.0,22084.905692417335,82347.07213971463,0.0,20693.286329036397,5364.118354154207,134614.7730311155,0.0,0.0,462776.13265734323,31139.750996476847,493915.88365382,2290.7559201932263,1576.66924044955,3867.4251606427765,5097200436.266802,441840259.2440635
2015,Retail,Breads & Bakery,458642.1911069354,7798710.952336935,2037433241.5829546,264872.7720858219,371007.55512330955,0.0,119480.87720526774,87634.63598362586,21191.077534423333,84943.70550306418,22065.629940605886,82275.19944317384,0.0,18703.583443278163,5359.436540452031,136468.92271831198,0.0,0.0,812627.6138275185,104893.97839369156,917521.59222121,3112.192587245705,7010.93315129589,10123.125738541596,8039485805.183112,618345925.2055159
2015,Retail,Dairy & Eggs,451284.00151267677,24974211.483822677,1125299127.8071609,260623.30678769824,365055.3248565935,3097.289123215586,142398.15383731003,86228.6766560833,20851.10016376629,83580.91790512885,21711.62175782649,80955.22381043236,0.0,18283.738068098388,5273.452845650939,134399.27030569006,0.0,0.0,1347022.7850313478,28713.710698099076,1375736.4957294466,16855.25559204813,2029.1934911212231,18884.449083169355,104651283872.84596,608425541.4276558
2015,Retail,Dry Goods,650755.285404746,32899660.536134746,3940006838.02142,375820.9770859626,526412.8161407944,0.0,569521.5031276714,124342.46926395147,30067.459942280973,120524.37911255071,31308.339241486225,116738.1063790783,0.0,26793.681636057863,7604.362884873168,193376.48694446706,0.0,0.0,1589285.6395176984,135128.42545797842,1724414.0649756768,7331.331391987408,8905.038600783024,16236.369992770433,75890954657.73851,877354693.5679908
2015,Retail,Fresh Meat & Seafood,609200.6630592687,10855321.864919268,4891403011.794241,348779.41967627587,491421.90838495607,88437.0626206641,223911.70370743424,117778.7546743127,28480.27716663905,114162.21154204107,29655.65368462732,110575.80626920503,0.0,23288.20799302212,0.0,185259.75172942138,0.0,0.0,6312208.649507911,113702.62295997897,6425911.27246789,85541.42473495296,6734.134819358832,92275.5595543118,739889933617.0253,819036513.9749268
2015,Retail,Frozen,117573.41625164339,13980192.182121642,521260868.2873606,67900.41843078508,95108.18358367508,903.8559414454393,104052.4733827044,22465.232667968314,5432.355391819354,21775.409761070616,5656.547836561107,21091.335378397067,0.0,4857.082322793099,1373.8972895712425,34921.55560346256,0.0,0.0,462715.76209485944,15487.878346012758,478203.6404408722,4151.03316816132,1083.8626736812919,5234.895841842611,28267120365.372055,158513639.30612513
2015,Retail,Prepared Foods,386309.49171249015,4537344.27663249,4370061545.426172,223099.54892286583,312495.7599196593,14898.597288133322,46944.3294329018,73813.73179283088,17849.021633629764,71547.1893631636,18585.64792327163,69299.53478707689,0.0,17889.329825727018,4514.1970057539775,112810.83938103632,0.0,0.0,1519413.312420178,57786.94157809595,1577200.2539982738,12020.164964701073,4007.6893076794263,16027.854272380499,148125022940.60086,520826266.5327655
2015,Retail,Produce,1525183.3285380634,24414652.289708063,4551761651.572171,880816.3400622846,1233760.322987393,347067.0856472871,518913.12386850524,291423.0055506704,70469.483174356,282474.4997507521,73377.74755932944,273600.5648324999,0.0,65936.6062586481,17822.440718170437,450078.98069363664,0.0,0.0,2274238.412736223,127883.4671379552,2402121.879874178,5617.1227846612555,6368.532875981676,11985.655660642931,55594807206.22134,2056267204.9789886
